Name,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,Education,DistanceFromHome,BusinessTravel,TrainingTimesLastYear,TasksCompletedLastMonth,TasksCompletedNextMonth
Allison Hill,50,Other,R&D,Developer,18394,25,12,Yes,2,1,0,1,2,Travel_Frequently,4,26,29
Noah Rhodes,50,Female,Sales,Analyst,15071,8,8,No,4,3,7,1,23,Travel_Frequently,6,40,41
Angie Henderson,53,Other,HR,Sales Executive,10172,15,3,No,1,4,9,5,23,Non-Travel,1,45,42
Daniel Wagner,58,Female,HR,Sales Executive,10566,11,7,No,3,4,9,5,22,Travel_Frequently,6,20,18
Cristian Santos,24,Other,R&D,Sales Executive,4153,29,2,Yes,2,2,2,2,16,Non-Travel,6,34,29
Connie Lawrence,32,Male,HR,Sales Executive,7498,4,7,No,4,4,4,1,9,Travel_Frequently,3,46,50
Abigail Shaffer,30,Other,R&D,Manager,11015,14,13,Yes,2,3,3,2,3,Non-Travel,3,32,28
Gina Moore,53,Male,R&D,Analyst,12407,14,5,No,3,1,7,2,18,Travel_Frequently,5,45,44
Gabrielle Davis,50,Male,Sales,Manager,14729,4,9,Yes,2,1,3,2,25,Travel_Rarely,5,38,43
Ryan Munoz,56,Male,R&D,Manager,7310,27,11,Yes,2,3,5,3,22,Non-Travel,0,32,27
Monica Herrera,42,Male,R&D,Analyst,11980,3,5,No,3,2,6,5,30,Travel_Frequently,5,24,29
Jamie Arnold,58,Male,Sales,Manager,17843,13,4,Yes,2,4,5,3,20,Travel_Rarely,6,33,36
Lisa Hensley,54,Female,R&D,Developer,18334,3,0,No,1,2,1,2,8,Travel_Frequently,3,18,19
Michele Williams,42,Male,Sales,Developer,13760,28,5,No,4,4,3,1,20,Non-Travel,5,36,35
Dylan Miller,46,Male,HR,Manager,17008,30,0,No,2,1,6,5,14,Travel_Rarely,6,16,11
Brian Ramirez,53,Other,HR,Developer,9404,20,8,No,3,1,3,1,2,Non-Travel,4,44,42
Holly Wood,37,Other,Sales,Manager,14355,14,14,Yes,4,3,0,3,23,Travel_Rarely,5,15,12
Derek Zuniga,41,Other,HR,Sales Executive,12365,10,10,No,2,3,5,5,18,Travel_Frequently,5,17,19
Lisa Jackson,38,Male,Sales,Manager,17434,8,6,No,2,4,0,1,18,Non-Travel,5,17,14
Carla Gray,37,Female,Sales,Developer,16278,28,4,Yes,1,1,2,2,19,Travel_Frequently,2,15,11
Margaret Hawkins DDS,26,Male,Sales,Developer,3361,4,3,No,4,1,9,1,11,Non-Travel,3,16,14
Patty Perez,24,Female,HR,Analyst,15631,23,5,Yes,1,1,5,4,17,Non-Travel,5,22,24
Ethan Adams,42,Male,Sales,Analyst,16640,2,1,No,2,3,7,4,4,Travel_Frequently,0,22,24
Tommy Walter,44,Female,HR,Sales Executive,15725,0,2,No,4,2,2,4,2,Non-Travel,1,34,31
Matthew Foster,34,Female,R&D,Manager,17148,14,12,No,3,3,8,3,26,Non-Travel,6,49,51
Judy Baker,59,Female,HR,Manager,15518,1,12,No,1,3,2,1,13,Travel_Rarely,6,21,17
Justin Baker,28,Other,HR,Manager,11983,1,2,No,3,4,2,4,14,Non-Travel,1,23,18
Stephanie Ross,46,Other,Sales,Manager,6904,11,7,No,2,3,8,5,26,Travel_Frequently,0,21,16
Zachary Hicks,28,Male,Sales,Manager,9626,19,10,No,4,4,6,5,10,Non-Travel,6,44,43
Anthony Rodriguez,49,Male,Sales,Developer,12631,5,2,No,3,2,4,1,22,Non-Travel,0,33,32
Rebecca Henderson,27,Male,R&D,Manager,11690,26,0,Yes,2,3,9,5,30,Travel_Frequently,6,36,39
James Ferrell,42,Other,HR,Sales Executive,9949,26,2,No,1,1,2,2,4,Travel_Frequently,6,39,37
Tricia Valencia,51,Female,R&D,Analyst,5489,12,14,Yes,2,3,2,1,25,Non-Travel,5,44,47
Nathan Maldonado,27,Male,R&D,Sales Executive,3507,1,8,Yes,4,3,7,2,13,Travel_Rarely,3,15,19
Debra Davidson,49,Other,HR,Manager,12620,7,6,No,2,1,3,1,12,Travel_Rarely,1,19,14
Jeffrey Chavez,44,Male,HR,Manager,3996,5,13,Yes,3,2,1,5,24,Non-Travel,0,48,45
Sherri Baker,35,Other,Sales,Developer,11979,8,14,No,3,4,1,3,28,Non-Travel,3,37,35
Cassandra Gaines,33,Male,R&D,Sales Executive,10319,0,7,Yes,4,3,4,5,27,Non-Travel,2,33,32
Elizabeth Fowler,42,Other,Sales,Sales Executive,8515,5,7,No,3,1,0,5,30,Travel_Rarely,0,23,23
Brittany Farmer,35,Male,R&D,Manager,12502,11,4,No,3,2,6,1,18,Travel_Rarely,1,47,46
Paula Moreno,40,Other,HR,Manager,6390,29,4,Yes,4,2,8,2,25,Travel_Frequently,4,48,52
Fred Smith,57,Other,Sales,Analyst,15174,29,4,No,4,1,6,1,16,Non-Travel,5,47,50
Sherry Decker,27,Other,R&D,Manager,10478,15,13,No,4,4,5,2,28,Travel_Rarely,1,32,29
Anthony Humphrey,52,Other,R&D,Analyst,18985,0,13,No,1,2,7,4,20,Travel_Frequently,0,27,32
Angelica Tucker,33,Other,R&D,Developer,16034,12,9,Yes,1,2,7,3,4,Non-Travel,0,27,30
Philip Cannon,32,Male,R&D,Sales Executive,6860,12,2,No,2,3,8,1,5,Travel_Frequently,0,37,38
John Pierce,48,Other,R&D,Sales Executive,18640,25,14,No,2,2,0,4,13,Travel_Rarely,2,44,46
Shane Henderson,41,Other,Sales,Analyst,10920,29,11,No,3,4,8,3,7,Travel_Frequently,0,31,33
Joshua Blair,39,Female,Sales,Manager,19310,9,13,No,3,1,3,4,16,Travel_Rarely,0,32,30
Eric Carney,25,Male,HR,Sales Executive,5411,28,14,Yes,3,1,0,1,2,Non-Travel,4,43,45
Jessica Holmes,42,Female,HR,Sales Executive,18786,20,6,Yes,4,2,7,3,15,Travel_Rarely,1,18,13
Danny Morgan,52,Female,Sales,Developer,18997,21,12,No,1,2,0,1,30,Non-Travel,0,28,27
Crystal Robinson,46,Female,HR,Developer,12829,11,11,No,1,2,2,1,2,Non-Travel,2,18,17
Mark Perez,45,Male,R&D,Manager,5534,0,10,Yes,4,1,0,5,13,Travel_Frequently,3,39,44
Shannon Jones,48,Male,HR,Sales Executive,12405,26,1,Yes,4,1,0,5,4,Travel_Frequently,2,25,21
Michael Lewis,53,Female,Sales,Manager,6591,0,9,Yes,3,4,1,5,7,Travel_Frequently,4,20,24
Timothy Duncan,22,Male,R&D,Manager,19571,10,7,Yes,2,4,0,3,3,Travel_Frequently,1,39,39
Richard Aguirre,54,Male,R&D,Analyst,3886,0,11,Yes,3,1,3,5,7,Travel_Rarely,6,21,23
Brent Jordan,44,Male,HR,Sales Executive,17409,1,3,No,2,2,1,2,8,Non-Travel,1,32,30
John Daniel,33,Male,R&D,Manager,10484,10,8,Yes,1,3,9,4,28,Travel_Rarely,6,46,43
Victoria Garcia,32,Other,R&D,Developer,11542,19,0,No,2,4,2,2,2,Non-Travel,2,30,34
Gerald Hensley,49,Male,HR,Manager,5251,5,1,Yes,1,2,1,1,9,Travel_Rarely,6,21,22
Connor West,55,Male,R&D,Manager,6938,14,13,Yes,4,1,8,4,16,Travel_Frequently,5,49,52
Donald Wright,43,Female,HR,Manager,14766,24,7,Yes,2,2,4,1,24,Travel_Rarely,5,40,42
Jessica Callahan,37,Male,HR,Manager,16271,8,2,No,1,1,3,5,9,Travel_Frequently,5,15,12
Amber Kidd,24,Female,R&D,Sales Executive,13536,0,12,Yes,3,2,0,5,26,Travel_Rarely,3,26,26
Tracy House,40,Female,Sales,Analyst,3968,13,5,Yes,2,2,1,3,24,Travel_Rarely,4,25,26
Carol Tucker,34,Male,R&D,Manager,13458,28,13,No,1,2,7,2,30,Travel_Frequently,3,27,25
James Brown,40,Male,Sales,Manager,18467,15,0,No,2,3,4,1,23,Travel_Rarely,3,49,45
William Baker,46,Female,R&D,Analyst,5579,11,8,No,2,1,7,2,19,Travel_Rarely,3,20,20
Jordan Henderson,30,Male,HR,Analyst,10175,28,14,Yes,1,2,5,3,14,Travel_Frequently,4,39,44
Whitney Peters,25,Other,R&D,Sales Executive,12236,4,7,Yes,3,4,3,1,14,Travel_Frequently,5,33,37
Brittney Phillips,51,Female,Sales,Manager,12109,8,14,No,3,1,1,1,4,Non-Travel,2,15,12
Lauren Daniels,49,Other,HR,Developer,4260,16,1,Yes,4,1,4,3,11,Non-Travel,3,27,28
Amy Silva,32,Male,Sales,Manager,15423,7,1,No,2,1,0,4,28,Non-Travel,5,33,32
Sarah Moore,39,Male,HR,Analyst,3695,26,8,No,2,2,8,2,19,Non-Travel,3,26,24
Angela Lopez,26,Female,Sales,Developer,15406,2,14,Yes,2,2,2,1,3,Travel_Frequently,0,31,31
Megan Young,37,Female,HR,Manager,16448,11,6,No,3,4,1,4,8,Non-Travel,3,30,26
Steve Sanchez,46,Male,Sales,Manager,10823,28,7,Yes,2,3,5,3,16,Travel_Rarely,2,43,40
Lisa Barnes,30,Female,HR,Manager,7768,9,6,No,4,1,2,5,5,Non-Travel,3,38,38
Kelly Donovan,24,Female,R&D,Developer,4905,20,3,Yes,2,3,0,3,1,Travel_Frequently,1,17,19
Mike Allen,58,Male,HR,Manager,13189,22,6,Yes,3,3,6,4,16,Travel_Frequently,3,25,25
Michael Evans,29,Other,R&D,Sales Executive,3881,30,7,No,3,3,0,4,8,Travel_Rarely,1,36,39
Paul Jones,36,Other,R&D,Developer,7921,9,3,No,1,4,6,5,23,Travel_Frequently,5,29,32
Zachary Ferrell,25,Other,HR,Sales Executive,18537,26,8,Yes,1,3,1,2,5,Travel_Rarely,1,25,26
Daniel Baker,53,Other,HR,Developer,19080,23,4,No,2,3,9,1,10,Travel_Rarely,5,28,26
Shirley Suarez,40,Male,HR,Analyst,11000,23,12,No,3,3,2,3,3,Non-Travel,5,43,42
Christopher Bass,56,Female,Sales,Manager,14638,9,7,Yes,1,2,8,1,4,Non-Travel,4,47,46
Lisa Archer,58,Other,Sales,Analyst,5912,15,6,Yes,1,4,5,2,9,Travel_Rarely,4,29,33
Aimee Montoya,26,Other,HR,Manager,10977,11,9,No,3,2,5,5,2,Travel_Frequently,2,31,30
Matthew Mcmillan,31,Other,Sales,Developer,13053,6,0,Yes,4,4,3,1,24,Travel_Frequently,1,18,20
Brian Rodriguez,37,Female,R&D,Developer,6612,6,2,No,1,4,7,3,4,Travel_Rarely,1,26,27
Denise Jacobs,45,Other,R&D,Analyst,3383,19,9,No,3,3,0,5,30,Travel_Frequently,4,17,15
Christina Walters,51,Female,Sales,Manager,10173,3,4,No,4,4,4,2,19,Travel_Rarely,3,19,19
John Whitehead,23,Female,R&D,Manager,13222,21,13,No,4,3,7,2,29,Travel_Frequently,3,41,37
Anna Henderson,54,Male,HR,Manager,13356,7,3,Yes,1,4,7,3,26,Travel_Frequently,6,21,25
Aaron Wise,39,Female,Sales,Manager,8481,6,14,Yes,3,4,8,4,7,Non-Travel,3,36,31
Deborah Figueroa,47,Female,R&D,Developer,16512,24,10,Yes,2,3,9,1,25,Travel_Rarely,4,41,37
Jessica Smith,41,Male,R&D,Sales Executive,10681,21,2,No,2,4,5,4,12,Travel_Rarely,0,30,28
Stephen Mckee,57,Male,Sales,Manager,3266,26,8,No,1,2,4,4,16,Non-Travel,6,25,29
Sandra Aguilar,36,Female,R&D,Developer,16586,14,11,Yes,1,2,0,2,21,Non-Travel,5,37,39
Cameron Parker,49,Female,Sales,Manager,5931,19,8,Yes,1,4,2,3,30,Travel_Frequently,5,40,44
