Name,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,Education,DistanceFromHome,BusinessTravel,TrainingTimesLastYear,TasksCompletedLastMonth,TasksCompletedNextMonth
Jennifer Banks,51,Female,HR,Sales Executive,17785,12,0,No,2,2,4,4,8,Non-Travel,1,42,39
Brian Fitzgerald,41,Other,Sales,Manager,6079,1,4,Yes,3,3,5,4,4,Travel_Frequently,0,27,25
Mr. Justin Green III,55,Female,Sales,Sales Executive,6660,30,8,Yes,2,2,1,1,24,Travel_Frequently,3,42,45
Zachary Mitchell,55,Male,R&D,Developer,19353,19,4,Yes,2,1,3,1,26,Non-Travel,4,30,28
Katherine Martinez,48,Male,R&D,Analyst,7619,28,2,No,2,1,0,5,21,Non-Travel,3,28,31
Jodi Roach,43,Female,Sales,Sales Executive,14187,2,13,No,2,2,3,2,11,Travel_Rarely,1,28,27
Brandon Fleming,36,Other,HR,Sales Executive,13665,3,11,No,2,2,4,1,10,Non-Travel,1,16,21
Emma Reed,51,Other,HR,Analyst,9020,19,6,Yes,2,2,4,2,4,Non-Travel,4,42,42
Joshua Vance,55,Male,HR,Manager,14067,20,7,No,1,2,4,1,19,Non-Travel,0,39,41
Michelle Ho,31,Male,R&D,Sales Executive,4254,2,7,No,3,2,6,1,21,Travel_Frequently,1,17,17
Rebecca Hicks,42,Female,R&D,Analyst,9993,14,4,Yes,2,2,5,5,10,Travel_Frequently,2,29,28
Curtis Taylor,31,Male,R&D,Developer,19051,14,1,No,3,3,5,1,17,Travel_Rarely,4,32,34
Allison Spencer,35,Male,R&D,Sales Executive,16642,13,7,Yes,4,2,0,3,6,Non-Travel,4,39,43
Robert Arnold,31,Female,R&D,Analyst,19175,2,9,Yes,1,4,5,4,29,Travel_Rarely,6,49,53
Angelica Parker,28,Female,HR,Manager,3225,26,13,Yes,3,1,6,3,11,Travel_Frequently,1,34,38
Dr. Kelly Hammond DVM,58,Other,HR,Developer,8695,29,9,No,2,1,5,1,6,Travel_Frequently,0,40,39
William Day,54,Other,Sales,Analyst,4696,9,7,Yes,3,4,9,3,15,Travel_Rarely,4,18,14
Michael Cooper,59,Male,Sales,Manager,14565,12,1,Yes,4,4,9,5,30,Non-Travel,5,15,15
Penny Bowman,23,Other,Sales,Sales Executive,8524,15,11,Yes,2,2,5,5,12,Travel_Frequently,4,29,26
Vincent Reynolds,28,Female,Sales,Developer,6242,8,12,No,1,4,4,3,12,Travel_Rarely,6,31,34
Amy Martinez,47,Male,Sales,Manager,16693,7,2,No,1,3,1,2,22,Travel_Rarely,4,30,27
Christopher Morris,45,Other,R&D,Manager,11799,18,0,Yes,4,1,5,1,4,Non-Travel,5,34,29
Hannah Everett,42,Male,HR,Sales Executive,3432,13,10,Yes,4,1,1,5,17,Travel_Frequently,1,34,38
Sarah King,41,Female,Sales,Analyst,10582,14,5,No,3,3,2,4,1,Travel_Rarely,4,25,29
Krista Martinez,59,Female,R&D,Developer,10249,23,1,No,1,1,3,1,8,Non-Travel,2,16,14
Joseph Shaw,54,Male,R&D,Sales Executive,8272,4,12,No,1,2,1,1,18,Travel_Frequently,6,19,19
Todd Moore,46,Other,Sales,Sales Executive,8254,13,0,No,2,2,5,3,25,Travel_Frequently,6,41,46
Michelle Jacobs,56,Male,Sales,Sales Executive,3360,13,11,Yes,2,3,1,2,14,Non-Travel,1,30,34
Kristy Bryan,37,Other,Sales,Developer,15046,30,7,No,1,4,5,2,3,Non-Travel,5,33,28
Angel May,23,Other,Sales,Analyst,7794,18,13,Yes,4,1,4,4,10,Travel_Frequently,0,35,38
Marilyn Wang,56,Other,R&D,Sales Executive,11905,25,14,No,1,1,0,4,21,Travel_Rarely,4,21,21
Mark Jimenez,56,Male,Sales,Sales Executive,7121,24,11,Yes,4,2,7,1,18,Travel_Rarely,6,47,44
Donna Frye,32,Male,R&D,Analyst,11251,13,13,No,3,3,9,5,10,Travel_Rarely,2,42,42
Dr. Michael Evans,41,Male,R&D,Analyst,18654,19,9,No,2,2,8,5,13,Non-Travel,0,17,15
Anthony Gonzales,55,Male,Sales,Analyst,4815,27,11,No,2,4,1,1,22,Non-Travel,5,40,35
Mr. Lawrence Edwards,31,Male,R&D,Manager,11173,26,5,Yes,3,4,3,1,23,Travel_Rarely,6,31,32
Morgan Valencia,37,Female,Sales,Developer,10151,29,0,No,1,1,3,1,2,Travel_Rarely,5,36,39
Bianca Wood,48,Male,HR,Analyst,3275,1,1,No,2,4,9,2,23,Travel_Frequently,6,17,14
Emma Owens,58,Other,R&D,Sales Executive,7576,23,12,Yes,1,1,2,1,5,Travel_Rarely,4,27,22
David Davis,59,Male,Sales,Sales Executive,18988,29,10,Yes,4,3,0,3,29,Travel_Rarely,5,22,17
James Gilbert,55,Other,R&D,Analyst,17417,4,6,Yes,3,3,5,4,27,Travel_Rarely,5,16,16
Sean Moore,38,Other,HR,Manager,14253,22,1,No,3,4,3,2,26,Travel_Rarely,0,43,43
Kenneth Edwards,27,Other,R&D,Sales Executive,9983,19,3,Yes,3,3,2,1,18,Travel_Rarely,4,36,37
Kathleen Robertson,36,Other,HR,Developer,5475,18,14,No,2,2,1,1,15,Travel_Frequently,3,33,31
Mr. Alexander Landry MD,41,Female,Sales,Manager,5314,5,9,No,4,1,1,3,9,Travel_Rarely,4,32,35
Cindy Gomez,53,Male,R&D,Sales Executive,15297,18,3,Yes,1,2,2,1,14,Travel_Frequently,4,15,17
Johnny Khan,28,Female,HR,Manager,3843,23,8,Yes,2,3,0,3,29,Non-Travel,0,26,29
Julie Herrera,37,Female,R&D,Sales Executive,19984,14,13,No,2,4,2,3,4,Travel_Rarely,0,39,43
Jessica Khan,32,Male,HR,Analyst,18295,26,6,No,2,3,6,3,5,Travel_Frequently,2,33,33
Pamela Diaz,50,Female,Sales,Manager,10043,5,0,Yes,3,3,1,4,15,Travel_Frequently,2,39,34
Kelly Lee,35,Male,Sales,Manager,5674,28,10,No,4,4,6,1,24,Travel_Frequently,2,24,22
Angel Gordon,46,Other,Sales,Sales Executive,15982,9,14,No,1,3,3,4,9,Travel_Rarely,3,41,42
Diana Hays,36,Female,Sales,Analyst,19226,17,3,No,4,4,7,5,14,Travel_Rarely,5,34,29
Barbara Hester,47,Male,R&D,Manager,4333,10,10,No,3,3,3,1,23,Travel_Rarely,2,21,18
Robert Morgan,33,Female,HR,Developer,3924,28,5,Yes,2,3,4,5,22,Travel_Rarely,4,38,43
Nicole Gonzalez,45,Other,HR,Manager,17541,1,13,Yes,4,2,9,4,18,Travel_Rarely,1,37,35
Kathryn Williams,45,Other,Sales,Sales Executive,16965,4,1,Yes,1,1,0,5,22,Travel_Rarely,1,39,40
Gary Wells,47,Female,HR,Manager,18551,17,0,No,4,1,4,4,1,Travel_Frequently,4,36,35
Larry Robertson,50,Female,HR,Developer,16894,14,2,No,3,4,2,3,27,Non-Travel,5,48,48
Louis Martin,24,Male,HR,Manager,19662,2,9,Yes,4,4,7,1,4,Non-Travel,5,25,28
Nancy Evans MD,48,Other,R&D,Analyst,13273,7,0,Yes,1,1,1,5,23,Travel_Frequently,6,48,49
Kim Erickson,36,Female,R&D,Developer,9640,4,2,Yes,2,3,5,1,13,Travel_Rarely,2,34,37
Robert Richardson,59,Female,HR,Sales Executive,4165,3,7,No,4,3,4,2,11,Travel_Frequently,2,33,29
Veronica Silva,42,Male,R&D,Developer,5163,5,1,Yes,4,3,4,2,14,Travel_Frequently,6,41,38
Molly Watts,30,Other,HR,Sales Executive,12610,1,2,No,2,2,2,4,23,Travel_Rarely,6,41,40
John Coffey,51,Other,Sales,Manager,3029,28,14,No,3,3,7,5,29,Travel_Rarely,5,42,42
Paula Lane,38,Female,R&D,Analyst,5368,9,0,No,4,1,4,3,23,Non-Travel,2,43,38
Lauren Jackson,38,Male,HR,Manager,11650,19,0,No,1,2,1,4,29,Travel_Frequently,3,26,27
Lisa Randall,25,Other,HR,Developer,16753,18,4,Yes,3,4,4,2,19,Non-Travel,2,37,38
Michael Johnson,25,Female,R&D,Sales Executive,14250,19,5,No,1,2,0,4,2,Travel_Frequently,6,46,48
Ashley Smith,58,Female,R&D,Manager,4397,27,5,No,1,4,1,3,6,Travel_Rarely,5,39,35
Christian Vaughn,51,Male,R&D,Analyst,3140,6,1,No,3,3,3,1,21,Travel_Frequently,1,38,34
Reginald Knapp,33,Male,R&D,Analyst,13980,5,9,Yes,3,3,7,5,1,Non-Travel,5,33,33
Nancy Brown,23,Male,Sales,Sales Executive,17466,18,11,Yes,1,1,4,4,9,Travel_Frequently,2,21,19
Daniel Nguyen,22,Other,HR,Analyst,9273,24,1,Yes,4,1,7,4,29,Non-Travel,1,24,27
Kelly Edwards,45,Female,HR,Developer,5375,16,12,No,2,3,8,3,27,Travel_Frequently,0,30,31
Thomas Peterson,30,Female,HR,Analyst,16819,12,0,No,1,2,2,2,22,Non-Travel,4,17,18
Raymond Le,31,Female,R&D,Analyst,6953,26,4,No,2,1,2,3,13,Non-Travel,6,33,33
Melissa Bishop,37,Female,Sales,Manager,7816,22,3,Yes,2,2,8,3,6,Travel_Frequently,2,35,30
David Grant,23,Male,Sales,Sales Executive,12981,24,5,No,2,4,4,3,16,Travel_Rarely,1,46,46
William Evans,50,Female,HR,Developer,13285,17,14,Yes,1,4,9,3,26,Travel_Frequently,6,44,44
Daniel Bush,39,Male,R&D,Analyst,6083,4,8,Yes,3,3,4,1,13,Travel_Frequently,2,19,20
Gregory Peck,44,Other,HR,Manager,19682,17,3,Yes,3,2,1,5,9,Travel_Frequently,5,37,41
Denise Martinez,50,Female,Sales,Analyst,3805,8,11,Yes,2,3,2,4,23,Non-Travel,1,28,33
Jamie Baird,28,Other,Sales,Analyst,17892,12,5,Yes,4,1,7,5,14,Travel_Frequently,3,25,26
Tina Ballard,43,Male,R&D,Analyst,7618,19,10,Yes,4,4,8,4,28,Travel_Frequently,4,29,27
Dwayne Klein,34,Female,HR,Developer,5461,27,0,No,3,2,1,3,5,Travel_Frequently,6,37,42
Jeremy Scott,42,Other,R&D,Developer,15210,11,1,No,3,2,8,2,22,Travel_Frequently,4,20,25
Dale Ryan,50,Female,Sales,Sales Executive,4505,6,8,Yes,1,2,1,3,26,Non-Travel,6,26,22
Melissa Taylor,22,Male,R&D,Analyst,8682,30,3,No,4,1,8,1,14,Non-Travel,2,18,21
Laurie Sanchez,36,Female,HR,Developer,3170,8,8,No,2,1,4,5,11,Travel_Frequently,0,27,22
Kiara Little,40,Male,HR,Analyst,11619,2,2,No,3,1,7,4,19,Non-Travel,0,25,20
Jason Love,53,Male,Sales,Sales Executive,19232,24,10,No,2,2,4,3,14,Travel_Frequently,2,44,44
Randy Smith,39,Male,R&D,Sales Executive,10678,5,5,Yes,3,3,6,3,24,Non-Travel,5,15,16
Tanya Russell,56,Other,R&D,Developer,8082,1,4,No,3,2,1,5,9,Non-Travel,5,16,18
Sherry Woods,48,Other,Sales,Developer,3621,18,11,Yes,4,1,7,1,4,Non-Travel,6,27,22
